COD_DISCIPLINA,NOME_DISCIPLINA,COD_TURMA,VAGAS_OFERECIDAS,DIA_SEMANA,HR_INICIO,HR_FIM,TIPO_AULA,COD_CURSO,NOME_UNIDADE,ITEM_TABELA,DIA_ITEM,DT_INICIO_PERIODO,DT_FIM_PERIODO,COD_OPERADOR,NOME_USUARIO,VERSAO_CURSO,CH_TEORICA,CH_PRATICA,CH_ESTAGIO
CI070,TRABALHO DE GRADUACAO EM EMGENHARIA DE SOFTWARE I,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI071,TRABALHO DE GRADUACAO EM ENGENHARIA DE SOFTWARE II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI071,TRABALHO DE GRADUACAO EM ENGENHARIA DE SOFTWARE II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI071,TRABALHO DE GRADUACAO EM ENGENHARIA DE SOFTWARE II,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI071,TRABALHO DE GRADUACAO EM ENGENHARIA DE SOFTWARE II,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI071,TRABALHO DE GRADUACAO EM ENGENHARIA DE SOFTWARE II,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI098,TRABALHO DE GRADUACAO EM INFORMATICA DA EDUCACAO I,A,0,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI098,TRABALHO DE GRADUACAO EM INFORMATICA DA EDUCACAO I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI258,Trabalho de Graduação em Interação Humano-Computador I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,120,,
CI259,Trabalho de Graduação em Interação Humano-Computador II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
CI260,Trabalho de Graduação em Processamento de Imagens I,A,10,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI260,Trabalho de Graduação em Processamento de Imagens I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI260,Trabalho de Graduação em Processamento de Imagens I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
CI261,Trabalho de Graduação em Processamento de Imagens II,A,10,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
CI261,Trabalho de Graduação em Processamento de Imagens II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI261,Trabalho de Graduação em Processamento de Imagens II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
CI256,Trabalho de Graduação em Sistemas Operacionais I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,72,LETICIA LEONI,2011 - Ciência da Computação,120,,
CI256,Trabalho de Graduação em Sistemas Operacionais I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI256,Trabalho de Graduação em Sistemas Operacionais I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,120,,
CI257,Trabalho de Graduação em Sistemas Operacionais II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
CI257,Trabalho de Graduação em Sistemas Operacionais II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,72,LETICIA LEONI,2011 - Ciência da Computação,120,,
CI257,Trabalho de Graduação em Sistemas Operacionais II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,120,,
